feature	CNV_20q	CNV_20p	CNV_Xq11.2 	CNV_14q	CNV_17q24.3	CNV_7q36.3 	CNV_12p	CNV_12q	CNV_7q	CNV_7p	CNV_9q	CNV_3p21.32 	CNV_10p	CNV_10q	CNV_16p	CNV_16q	CNV_22q	CNV_1q	CNV_1p	CNV_14q31.1 	CNV_3q26.32	CNV_8p23.2  	CNV_3q	CNV_3p	CNV_5q	CNV_5p	CNV_1q43    	CNV_Xq23    	CNV_4q34.3  	CNV_18q	CNV_8q24.22	CNV_1q24.1 	CNV_2q37.3  	CNV_17p	CNV_15q	CNV_9p21.3  	CNV_21q	CNV_13q13.3 	CNV_19q	CNV_19p	CNV_6q26    	CNV_6p	CNV_6q	CNV_13q	CNV_Xp22.2 	CNV_11q	CNV_11p	CNV_1q32.1 	CNV_8p	CNV_8q	CNV_17q	CNV_3p25.3  	CNV_5q35.1 	CNV_Xq	CNV_2p	CNV_2q	CNV_1p36.23 	CNV_1p31.1  	CNV_10p14  	CNV_4p	CNV_4q	CNV_4q32.1 	CNV_10q23.31	CNV_9p23    	CNV_3p12.2  	CNV_3q11.2  	CNV_Xp11.4 	CNV_9p	CNV_18p	
TCGA-CJ-6033	0.000	0.000	-0.052984	-0.382	0.018996	0.0035212	0.000	0.000	0.000	0.000	-0.371	-0.55052	0.000	-0.214	0.000	0.000	0.000	0.000	0.000	-0.38186	0.23432	-0.65814	-0.362	-0.551	0.000	0.000	0.085275	-0.04599	-0.037167	0.000	0.22752	0.085275	0.029238	0.000	0.000	-0.37139	0.000	-0.017889	0.000	0.000	-0.013212	0.000	0.000	0.000	-0.052984	0.000	0.000	0.085275	-0.658	0.209	0.000	-0.56432	0.59069	0.000	0.000	0.000	-0.21028	0.067142	0.0063921	0.000	0.000	-0.037167	-0.21424	-0.37139	-0.55052	0.18842	-0.052984	-0.371	0.000	
TCGA-CJ-6032	0.000	0.000	-0.029994	0.000	-0.010951	-0.00097017	0.000	0.000	0.000	0.000	0.000	-0.50401	0.000	-0.453	0.000	0.000	0.000	0.000	0.000	0.0023581	0.011261	3.5272e-05	0.000	-0.504	0.000	0.000	0.47838	-0.029994	0.011958	-0.493	0.0015255	-0.0013858	0.43986	0.000	0.000	0.014888	0.000	0.00458	0.000	0.000	-0.50877	0.000	-0.509	0.000	-0.029994	0.000	0.000	0.47838	0.000	0.000	0.000	-0.50401	0.057226	0.000	0.440	0.440	-0.0013858	-0.0013858	-0.51938	0.000	0.000	0.011958	-0.50349	0.014888	-0.50401	0.011261	-0.029994	0.000	0.000	
TCGA-CJ-6031	0.000	0.000	-0.010232	0.000	0.0023581	-0.00041585	0.000	0.000	0.000	0.000	-0.277	-0.36766	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.076412	-0.0032881	0.0011093	0.000	0.000	0.000	0.000	0.0041632	-0.010232	-0.0011087	0.000	1.8137	0.0041632	-0.0058683	0.000	0.000	-0.27715	0.000	-0.0038779	0.000	0.000	-0.00027724	0.000	0.000	0.000	-0.010232	0.000	0.000	0.0041632	0.000	0.000	0.000	-0.37504	0.37578	0.000	0.000	0.000	-1.2253	0.0041632	0.00013863	0.000	0.000	-0.0011087	0.0033299	-0.27715	0.00041593	0.00041593	-0.010232	-0.277	0.000	
TCGA-CJ-6030	0.000	0.000	-0.098945	-0.500	0.008892	0.066372	0.000	0.000	0.000	0.000	-0.493	-0.5162	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.49996	0.010146	-0.45329	0.000	-0.516	0.000	0.000	0.020012	-0.098945	0.0070595	0.000	-0.3943	0.020012	-0.022258	0.000	0.000	-0.49225	0.000	-0.014599	0.000	0.000	-0.0016724	0.000	0.000	0.000	-0.098945	0.000	0.000	0.020012	-0.447	-0.447	0.000	-0.5162	0.053237	0.000	0.000	0.000	-0.51342	0.020012	-0.0066432	-0.518	0.000	0.0070595	0	-0.49225	-0.5162	0.010146	-0.098945	-0.493	0.000	
TCGA-B8-4622	0.455	0.455	0.007262	0.000	0.0020805	0.44799	0.438	0.438	0.448	0.448	-0.505	-0.55537	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00013863	0.001803	-0.0053992	0.000	-0.547	0.000	0.000	0.003191	0.007262	0	0.000	-0.0053992	0.003191	-0.0040693	0.000	0.000	-0.50525	0.000	-0.0043154	0.000	0.000	-0.0027707	0.000	0.000	0.000	0.012516	0.000	0.000	0.003191	0.000	0.000	0.000	-0.55537	-0.003413	0.000	0.000	0.000	0.022304	0.003191	-0.006505	0.000	0.000	0	-0.006505	-0.51959	0.0010851	0.0010851	0.012516	-0.505	0.000	
TCGA-B8-4621	0.486	0.486	0.047507	0.000	0.50519	0.53544	0.539	0.539	0.536	0.536	0.000	-0.00852	0.000	0.000	0.526	0.526	0.000	0.000	0.000	-0.0082929	0.60381	-0.0079947	0.598	0.000	0.000	0.000	-0.0028314	0.069702	0.0034986	-0.550	0.014639	-0.0028314	0.017866	0.505	0.000	-0.020101	0.000	0.012546	0.000	0.000	-0.0019971	0.000	0.000	0.000	0.069413	0.000	0.000	-0.0028314	0.000	0.000	0.505	-0.00852	-0.0039864	0.000	0.000	0.000	-0.04696	0.00058443	-0.013785	0.000	0.000	0.00044058	-0.013785	-0.020101	0.0055828	0.0055828	0.078426	0.000	-0.550	
TCGA-B4-5836	0.000	0.000	-0.037021	-0.380	0.0097276	0.0087528	0.000	0.000	0.000	0.000	0.000	-0.46408	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.37988	0.010937	-0.084434	0.000	-0.464	0.000	0.000	-0.015741	-0.037021	-0.035721	0.000	-0.017905	-0.015741	0	0.000	0.000	0.004719	0.000	0.0001843	0.000	0.000	0.013911	0.000	0.000	0.000	-0.041024	0.000	0.000	-0.015741	0.000	0.000	0.000	-0.46408	0.0063871	0.000	0.000	0.000	-0.015741	-0.015741	-0.052801	0.000	0.000	-0.035721	-0.052801	0.004719	0.010937	0.010937	-0.037021	0.000	0.000	
TCGA-B0-5399	0.000	0.000	-0.047124	0.000	-0.023018	0.0077783	0.000	0.000	0.000	0.000	0.000	-0.55557	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0	0.020203	0.0023581	0.000	-0.556	0.000	0.000	-0.0012473	-0.047124	0.031014	0.000	-0.0015243	-0.0012473	0.0087528	0.000	0.000	-0.074088	0.000	0.018523	0.000	0.000	0.023005	0.000	0.000	0.000	-0.047124	0.000	0.000	-0.0012473	0.000	0.000	0.000	-0.55557	0.0080567	0.000	0.000	0.000	-0.041589	-0.0012473	-0.007472	-0.554	0.000	0.031014	-0.007472	-0.063972	-0.55557	-0.55557	-0.047124	0.000	0.000	
TCGA-B0-4700	0.210	0.210	-0.0096806	0.000	0.010842	0.095508	0.000	0.000	0.000	0.000	0.000	-0.08206	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.00041585	0.051672	-0.097968	0.000	0.000	0.116	0.116	0.10249	-0.0096806	0	-0.148	-0.029857	0.019028	-0.038553	0.000	0.000	-0.070536	0.000	-0.098155	0.000	0.000	-0.090195	0.000	0.000	0.000	-0.0096806	0.000	0.000	0.019028	0.000	0.000	0.000	-0.08206	0.11594	0.000	0.000	0.000	-0.11525	0.019028	-0.063435	0.000	0.000	0	-0.063435	-0.070536	-0.08206	-0.08206	-0.0096806	0.000	-0.148	
TCGA-B0-4701	0.000	0.000	-0.0033039	0.000	0.0351	0	0.000	0.000	0.000	0.000	0.000	-0.38369	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.044415	0.03031	-0.024114	0.000	0.000	0.000	0.000	-0.00062533	-0.0027707	-0.0088526	0.000	-0.0033857	0.008892	0.015028	0.000	0.000	-0.033876	0.000	-0.01354	0.000	0.000	-0.01354	0.000	0.000	0.000	-0.0083643	0.000	0.000	0.010146	0.000	0.000	0.000	-0.38369	0.37775	0.000	0.000	0.000	0.008892	0.008892	-0.018353	0.000	0.000	-0.0088526	-0.019452	-0.033876	0.026392	0.026392	-0.0033039	0.000	0.000	
TCGA-B0-4703	0.000	0.000	-0.0089906	-0.193	0.012934	0.016845	0.000	0.000	0.000	0.000	0.000	-0.36016	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.19275	0.030029	-0.37234	0.000	-0.359	0.314	0.314	0.0023581	-0.0089906	-0.0095426	-0.195	0.39224	0.0023581	-0.35339	0.000	0.000	-0.015741	0.000	0	0.000	0.000	-0.015741	0.000	0.000	0.000	-0.0089906	0.000	0.000	0.0023581	-0.372	0.000	0.000	-0.35931	0.30705	0.000	0.000	0.000	0.00045222	0.00045222	-0.0020784	0.000	0.000	-0.0095426	-0.0020784	-0.015741	-0.36016	-0.36016	-0.0089906	0.000	-0.195	
TCGA-B0-4828	0.409	0.409	-0.044023	-0.231	0.0028987	0.1945	0.186	0.186	0.194	0.194	-0.229	-0.64594	-0.239	-0.239	0.000	0.000	-0.238	0.000	0.000	-0.22885	0.0090046	0.15986	0.000	-0.646	0.441	0.441	-0.0014004	-0.044023	-0.22381	0.000	0.22976	0.0014459	0.055643	0.000	0.000	-0.22872	-0.214	-0.032068	0.209	-0.014	-0.20947	-0.211	-0.211	0.000	-0.044023	0.000	0.000	0.0014459	0.173	0.173	0.000	-0.64594	0.45205	0.000	0.000	0.000	0.01264	0.0014459	-0.23852	-0.225	-0.225	-0.22381	-0.23499	-0.22872	-0.64594	-0.64594	-0.044023	-0.229	0.000	
TCGA-B0-4706	0.000	0.000	-0.0064723	0.000	0.0090082	-0.0098237	0.000	0.000	0.000	0.000	0.000	-0.6553	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.012598	0.02018	-0.0046771	0.000	-0.655	0.000	0.000	0.0010864	-0.0016857	-0.018376	0.000	0.0010864	0.0038625	-0.00057732	0.000	0.000	-0.0041367	0.000	-0.016452	0.000	0.000	-0.0076114	0.000	0.000	0.628	-0.0064723	0.000	0.000	0.0022964	0.000	0.000	0.000	-0.6553	-0.0072186	0.000	0.000	0.000	0.012353	0.012353	-0.00043873	0.000	0.000	-0.018376	-0.00043873	-0.0041367	-0.6553	0.02018	-0.0064723	0.000	0.000	
TCGA-B0-4707	0.302	0.302	-0.017391	-0.299	0.29988	-0.31506	0.298	0.298	0.323	0.323	-0.301	-0.30751	0.000	0.000	0.223	0.223	-0.326	0.000	0.000	-0.31751	0.026373	-0.64837	0.000	-0.269	0.603	0.603	0	-0.017391	-0.28525	0.279	0.34567	0	0.045282	-0.024	0.000	-0.62627	-0.314	-0.29336	0.274	-0.304	-0.30106	-0.301	-0.301	-0.283	-0.017391	-0.305	-0.305	0	-0.638	0.000	0.300	-0.30751	0.59602	0.000	0.306	0.306	0	0	0.011261	-0.285	-0.285	-0.28525	0.011261	-0.62627	-0.29083	0.024197	-0.017391	-0.301	-0.090	
TCGA-B0-4824	0.000	0.000	-0.045906	0.000	-0.01409	-0.0011908	0.000	0.000	0.000	0.000	0.000	-0.54411	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.0069919	0.014749	-0.00097017	-0.530	-0.530	0.000	0.000	0.0072217	-0.045906	0.0093913	0.000	-0.00097017	0.002978	0.00458	0.000	0.000	0.0033299	0.000	0.00597	0.000	0.000	-0.53683	-0.522	-0.522	0.000	-0.045906	0.000	0.000	0.0072217	0.000	0.000	0.000	-0.54411	0.00041593	0.000	0.000	0.000	-0.021138	0.002978	-0.0067477	0.000	0.000	0.0093913	-0.0048461	0.0033299	-0.52991	0.014749	-0.045906	0.000	0.000	
TCGA-B0-4827	0.000	0.000	-0.17094	0.000	0.0021216	-0.00078972	0.000	0.000	0.000	0.000	0.000	-0.3668	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.00597	0.0048577	-0.0071958	0.000	-0.367	0.000	0.000	0.001803	0.17392	0.0019418	-0.359	0.00055459	0.001803	-0.0036011	0.000	0.000	0.0015255	0.000	-0.0018014	0.000	0.000	-0.00055444	0.000	0.000	0.000	-0.17094	0.000	0.000	0.001803	0.000	0.000	0.000	-0.37276	0.0075	0.003	0.000	0.000	0.001803	0.001803	-0.016309	0.000	0.000	0.0019418	-0.0029091	0.0015255	-0.3668	0.0051359	-0.17094	0.000	-0.359	
TCGA-B0-4821	0.756	-0.427	0.017124	0.000	-0.0071958	0.00013863	1.115	1.115	0.000	0.000	-0.323	-0.51979	0.000	0.000	0.000	0.000	0.000	-0.153	-0.153	0	0.086377	-0.26252	0.000	-0.515	1.013	1.013	-0.15298	0.0092544	-0.6276	-0.145	0.29644	-0.15298	-0.61403	0.000	-0.145	-0.65789	0.000	-0.0011449	0.645	-0.207	0.00069327	0.000	0.000	0.000	0.017124	0.000	0.000	-0.15298	-0.263	-0.263	0.000	-0.52822	0.56241	0.000	-0.210	-0.210	-0.1498	-0.1517	-0.018765	-0.165	-0.165	-0.15911	-0.018765	-0.33179	-0.51979	-0.51979	0.017124	-0.323	-0.145	
TCGA-B0-4823	0.000	0.000	0.012302	0.000	-0.0081624	0.00097064	0.491	0.491	0.000	0.000	0.000	-0.51877	0.000	0.000	0.000	0.000	0.000	0.000	0.000	-0.0030475	-0.51877	-0.0055375	-0.519	-0.519	0.512	0.512	0.001803	0.019479	0.0022193	0.000	-0.0055375	0.001803	0.0026357	0.000	0.000	0.00041593	0.000	-0.0053992	0.000	0.000	-0.0022258	0.000	0.000	0.000	0.019503	0.000	0.000	0.001803	0.000	0.000	0.000	-0.51877	0.51171	0.000	0.000	0.000	0.001803	0.001803	-0.011198	0.000	0.000	0.0022193	-0.011198	0.00041593	-0.51877	-0.51877	0.012302	0.000	0.000	
