feature	CNV_6q12    	CNV_18q11.2 	CNV_12p	CNV_12q	CNV_4q22.1  	CNV_13q34   	CNV_21q22.3 	CNV_2q36.2  	CNV_5q	CNV_5p	CNV_3p25.3  	CNV_2p16.1  	CNV_10p15.3 	CNV_21q	CNV_12q15   	CNV_11p15.5 	CNV_6q26    	CNV_13q	CNV_2p	CNV_2q	CNV_17q25.3 	CNV_22q11.21	CNV_5p12    	CNV_14q11.2 	CNV_11q25   	CNV_9q21.11 	CNV_7p11.2  	CNV_9q	CNV_12q24.32	CNV_7q11.22 	CNV_10p	CNV_10q	CNV_16p13.3 	CNV_9p24.1  	CNV_8p23.2  	CNV_3q	CNV_3p	CNV_9p23    	CNV_1p13.2  	CNV_8q24.21 	CNV_12p13.33	CNV_Xp11.3  	CNV_3q26.33 	CNV_1p34.2  	CNV_19q	CNV_19p	CNV_5q31.1  	CNV_11q	CNV_11p	CNV_8p	CNV_8q	CNV_11q13.3 	CNV_19p13.3 	CNV_19q12   	CNV_5q11.2  	CNV_10q23.31	CNV_6p25.3  	CNV_16q23.1 	CNV_4q35.2  	CNV_4p15.31 	CNV_20q	CNV_2q31.2  	CNV_13q12.11	CNV_Xq22.3  	CNV_15q12   	CNV_4q12    	CNV_9p	CNV_16p	CNV_16q	CNV_22q	CNV_1q	CNV_1p	CNV_Xq28    	CNV_9p13.3  	CNV_21q21.1 	CNV_17q11.2 	CNV_9p21.3  	CNV_6p	CNV_6q	CNV_14q13.3 	CNV_17q	CNV_17p	CNV_20q11.21	CNV_18p	CNV_18q	CNV_11q22.1 	CNV_Xq	CNV_Xp21.1  	CNV_20p	CNV_14q	CNV_15q26.3 	CNV_7q	CNV_7p	CNV_17q25.1 	CNV_19q13.33	CNV_4q32.3  	CNV_1p36.32 	CNV_7q36.1  	CNV_5p15.33 	CNV_8p11.23 	CNV_18p11.32	CNV_3p13    	CNV_18q23   	CNV_15q	CNV_19q13.2 	CNV_7q21.2  	CNV_1q21.2  	CNV_3p12.1  	CNV_3p11.1  	CNV_17p11.2 	CNV_13q14.2 	CNV_2q22.1  	CNV_4p	CNV_4q	
TCGA-22-4607	-0.0045783	0.012228	0.000	0.000	-0.55357	-0.58323	0.015578	0.0069505	-0.571	0.000	0.036785	0.0095796	0.013902	0.000	0.028472	-0.5297	-0.60236	-0.538	0.000	0.000	0.39859	-0.089921	0.089118	0.04329	-0.033832	-0.59004	0.048537	-0.590	-0.058796	0.048537	0.000	0.000	-0.062973	-0.59935	0.022856	0.068	-0.585	-0.59935	0.040176	0.072244	-0.0091373	-0.13672	0.70962	-0.063846	-0.105	-0.105	-0.59099	0.000	0.000	0.000	0.000	0.00017867	-0.73977	-0.095525	-0.60364	0.022015	0.61388	-0.024272	-0.5571	-0.59182	0.000	0.053797	-0.57944	-0.13672	-0.010793	-0.55357	-0.590	0.000	0.000	0.000	0.431	0.000	-0.13672	-0.59004	0.075982	-0.66326	-0.59004	0.610	-0.566	0.076413	0.000	-0.609	-0.037227	0.000	0.000	0.00017867	-0.137	-0.13672	0.000	0.000	-0.026039	0.000	0.000	0.49406	-0.10498	-0.53846	-0.070185	0.0069347	0.034486	0.022856	0.010694	-0.58519	0.012228	0.000	-0.10498	0.048537	0.48248	-0.58519	-0.58519	-0.66326	-0.57944	0.053797	-0.554	-0.554	
TCGA-66-2737	0	-0.060748	0.000	0.000	-0.33618	0.167	0.090855	-0.0089743	-0.147	0.245	-0.14912	0.10118	-0.11299	0.000	0.079359	0.03645	-0.073536	0.119	0.101	0.000	0.08551	0.20473	0.39197	0.024553	0.0351	-0.11508	0.21008	-0.312	0.079359	0.21008	-0.113	-0.113	0.11565	-0.31155	-0.37166	0.000	0.000	-0.31155	0.14429	0.46776	0.16325	0.11023	2.2921	0.13835	0.000	0.000	-0.14651	0.560	0.000	-0.317	0.000	0.59656	0.070386	0.070386	-0.14651	-0.11299	0.04429	0.11565	-0.3306	-0.39096	0.143	-0.0089743	0.11946	-0.006705	-0.1499	0.11081	-0.312	0.116	0.116	0.205	0.388	-0.383	-0.006705	-0.11508	0.09856	0.08551	-0.90904	0.000	0.000	-0.0696	0.000	0.000	0.1434	0.000	0.000	0.59656	0.000	0.11023	0.143	0.000	-0.16064	0.210	0.105	0.08551	0.059366	-0.3306	-0.42014	0.21008	0.39197	-0.05496	-0.060748	-0.031031	-0.16192	-0.150	0.070386	0.21008	0.77122	-0.031031	-0.031031	0.08551	0.11946	0.10118	-0.391	-0.391	
TCGA-66-2758	-0.29272	0.63007	0.503	0.000	-0.28215	-0.30932	-0.36249	-0.29355	0.000	0.434	-0.30639	0.27096	0.80286	-0.318	0.14058	-0.31611	-0.32994	-0.289	0.240	0.000	0.39629	-0.77744	0.80286	-0.36851	-0.36329	-0.70361	-0.32368	0.167	-0.0038779	0.13643	-0.321	-0.321	-0.3729	0.9302	-0.42101	0.161	-0.306	0.9302	-0.31085	0.9009	0.77291	0.86871	1.9815	-0.31085	0.282	0.000	0.37907	-0.363	-0.363	0.000	0.000	-0.40385	-0.39797	0.361	-0.30451	-0.32077	0.057653	1.1108	-0.72146	-0.28663	0.000	0.51577	-0.34075	0.12344	-0.35065	0.5266	0.167	-0.361	-0.361	0.445	0.139	-0.172	0.84475	0.41761	-0.31786	0.34665	-1.1237	-0.293	-0.293	-0.29225	0.396	0.000	1.2441	1.479	0.630	-0.3011	0.123	-0.59915	0.000	-0.318	-0.74342	0.608	0.000	0.39629	0.361	-0.28847	-0.3953	0.70929	2.0999	0.082332	1.4786	-0.3085	-0.33941	0.000	0.361	0.757	0.67678	-0.3085	0.52783	-0.23435	-0.2894	-0.40782	-0.282	-0.282	
TCGA-85-6561	-0.049333	0.17242	0.000	0.000	0.38419	-0.29071	-0.3432	0.032704	-0.291	-0.291	-0.29225	0.032704	0.17407	-0.343	0.018523	-0.093403	-0.049333	-0.291	0.000	0.000	-0.042788	0.15741	-0.29806	0.19038	-0.043737	-0.056038	0.75204	0.000	0.018523	1.7223	0.174	0.174	0	0.204	-0.28881	0.821	0.529	0.204	-0.2919	0.19041	0.018523	-0.2881	0.82259	-0.2919	-0.156	0.154	-0.29094	0.000	0.000	-0.289	-0.128	-0.093403	0.15442	-0.31003	-0.29806	-0.29	-0.011138	-0.28073	-0.28988	-0.26961	0.169	0.032704	-0.29071	0.14488	0.13362	0.38419	0.204	0.000	-0.281	0.157	0.000	-0.292	0.14488	0.32157	-0.3432	0.069525	0.204	0.000	0.000	0.16175	0.000	0.000	0.16926	0.172	0.172	-0.043737	0.145	-0.2881	0.169	0.496	0.13026	0.752	0.752	-0.042788	-0.31003	-0.28988	-0.29154	0.13602	-0.30698	-0.28881	0.17242	-0.29225	-0.28227	0.130	-0.31003	0.27411	0.14058	-0.29225	-0.29225	0.069525	-0.29071	0.032704	-0.270	-0.270	
TCGA-85-6560	0.2548	-0.14612	0.547	-0.136	-0.14013	0	0.26624	0.25183	-0.137	1.238	-0.13561	0.64682	0.68403	-0.113	-0.13626	0.26326	0.2548	0.000	0.614	0.252	0.4599	-0.05037	1.3755	-0.57308	0.64524	-0.15565	-0.12577	-0.118	-0.13626	-0.12577	0.511	-0.142	0.30333	-0.15375	-0.17032	0.584	0.000	-0.15375	0.28929	0.36941	0.72376	0.10389	0.60467	0.28929	-0.119	-0.119	-0.13716	0.509	0.127	0.515	0.654	-0.13626	-0.11913	-0.11913	-0.14605	-0.14168	0.68198	0.29421	-0.16485	-0.57832	0.501	0.25183	-0.0047079	0.16816	-0.11717	-0.14013	-0.118	0.306	0.306	0.000	0.272	0.272	0.18571	-0.15375	-0.11286	0.4599	-0.15375	0.518	0.090	0.98121	0.314	-0.146	0.65921	-0.146	-0.146	0.64524	0.104	0.10389	-0.158	-0.130	-0.13083	-0.126	-0.126	0.4599	-0.11352	-0.15042	0.28929	-0.13497	1.3755	3.6569	-0.12953	-0.13419	-0.1458	-0.131	-0.57239	-0.12577	1.0819	0.5837	0.5837	-0.13018	0	0.21115	0.000	0.000	
TCGA-22-0940	-0.12422	-0.39519	0.000	0.000	0	-0.39586	-0.06652	-0.38078	-0.133	0.675	-0.38929	0.012376	-0.19975	0.000	0.0075	0.016705	-0.11887	-0.384	0.000	0.000	0.011539	-0.256	0.8085	-0.38201	-0.38996	0.15577	-0.39486	0.151	0.01755	-0.0056757	-0.194	-0.194	-0.18572	0.0027745	-0.044822	0.394	-0.193	-0.41849	-0.38168	0.0012481	0.0015255	-0.10549	0.59415	-0.38168	-0.227	-0.385	-0.13342	0.000	0.000	0.000	0.000	0.016705	-0.38459	0.57108	-0.13342	-0.18923	-0.39286	-0.19912	0.01447	-0.39252	0.000	0.023987	-0.38381	-0.10549	-0.39118	0	0.000	-0.186	-0.186	-0.256	0.181	-0.382	0.72565	-0.37459	-0.42473	0.0072179	0.004719	-0.393	-0.124	-0.38424	0.000	0.000	0.016286	0.000	0.000	-0.38996	-0.105	-0.10549	0.000	-0.384	0.012795	0.000	0.000	0.011539	0.15786	0	-0.38168	0.0058309	0.8085	0.0012481	0.020203	-0.38929	-0.062387	0.000	3.049	0.015308	0.18102	-0.38929	-0.38929	0.0072179	-0.38381	-0.43615	-0.384	0.000	
TCGA-37-4133	0.58196	0.20056	0.000	0.000	-0.41392	-0.50309	-0.41104	0.0085697	-0.459	0.458	-0.4351	1.3223	0.40605	-0.411	0.13429	-0.39956	-0.37463	-0.385	1.229	1.229	0.52602	0.2654	0.35842	-0.37643	-0.024678	0.36843	-0.13462	0.321	0.13429	0.63421	0.385	0.000	-0.070212	0.61829	-0.032126	1.984	1.549	0.6353	-0.036172	0.67524	0.054473	-0.090042	2.3025	-0.13333	-0.110	-0.110	-0.45921	0.000	0.000	0.000	0.000	-0.006963	-0.5397	-0.11002	-0.45921	0.01532	0.41491	0.36013	-0.94841	-0.52796	0.000	0.0085697	-0.75161	0.16425	-0.45472	-0.45167	0.321	0.000	0.317	0.265	1.063	0.000	0.16425	0.36843	0.25484	0.52602	0.62301	0.415	0.040	-0.37643	0.416	-0.110	1.4507	-0.151	-0.232	-0.006963	0.000	-0.090042	0.000	-0.376	-0.45472	0.435	-0.135	0.52602	-0.11002	-0.94841	-0.1598	0.57011	0.4578	-0.028944	-0.15148	-0.9616	-0.23182	-0.455	-0.11002	0.63421	1.0171	-0.9616	-0.9616	-0.11042	0.056799	-0.078186	-0.939	-0.939	
TCGA-37-4135	0.50985	0.77003	0.000	0.000	-0.58392	-0.58359	-0.53622	0.013492	-0.580	0.028	-0.61604	0.038065	-0.59322	-0.585	0.029606	-0.58532	2.2126	-0.568	0.000	0.000	0.84613	-0.0067813	0.60738	-0.55286	-1.2347	-0.57625	-0.58902	-0.576	0.033127	0.62315	-0.579	-0.579	0.63098	-0.57625	-1.2257	1.125	0.000	-0.57625	-0.011661	0.62533	0.055373	-0.18232	1.1392	0.02806	-0.645	-0.645	-0.5796	3.657	-0.559	-0.596	-0.596	3.6569	-0.64921	-0.64452	-0.58637	-0.585	0.0075	0.63098	-0.5899	-1.1957	0.298	0	-0.56694	-0.20517	0.020203	2.0131	-0.576	0.631	0.631	0.000	0.000	0.000	-0.051046	-0.57625	-0.58461	-0.074544	-0.57625	0.603	0.603	-0.55286	0.000	-0.552	0.84929	0.000	0.000	3.6569	-0.155	-0.15018	-0.551	-0.566	0.063939	0.562	0.562	0.87308	-0.64538	-0.57842	0.01419	-1.2271	0.60738	-1.192	1.7184	-1.2332	0.034677	0.000	-0.64538	0.63061	1.1604	-0.1985	0.073977	-0.62674	-0.56839	-1.1875	-0.578	-0.578	
TCGA-85-6798	0.306	0.52904	-0.137	-0.137	-0.38673	1.0341	-0.36182	-0.41642	-0.376	0.639	-0.37865	0.38749	-0.4005	-0.362	-0.13743	-0.02344	0.35103	0.000	0.387	0.000	0.062497	0.038901	1.0149	-0.37088	-0.36194	-0.0051339	0.64523	0.000	0.5107	0.64523	-0.348	-0.348	-0.21331	-0.022343	-0.76202	2.206	1.827	-0.022343	0.10423	0.29516	-0.098429	-0.05524	3.6569	0.10423	0.000	0.309	-0.38124	-0.338	0.000	-0.743	0.163	-0.36194	0.30856	0.30856	-0.37618	-0.34802	0.29961	-0.35739	-0.4012	0.0033186	0.000	0.88324	0.14073	-0.05524	0.17813	-0.38673	0.000	-0.213	-0.213	0.000	0.104	0.104	0.60533	0.47957	-0.36182	0.062497	-0.034915	0.306	0.306	-0.37088	0.000	0.000	0.0049856	0.174	-0.355	-0.36194	0.000	-0.05524	0.000	-0.371	0.17813	0.645	0.496	0.062497	-0.076345	-0.38907	0	0.49613	1.0149	-0.019042	0.52904	-0.38594	-0.73697	0.178	-0.076345	0.64523	0.10423	-0.38594	-0.38594	0.062497	-0.031916	0.24512	0.000	-0.364	
TCGA-37-3792	0	-0.46195	0.255	0.255	-0.087915	-0.105	-0.32426	0.21192	0.334	0.334	-0.001442	0.21192	-0.14738	-0.324	0.25545	-0.023155	0	-0.105	0.212	0.212	-0.20597	-0.16637	0.33383	0.18313	-0.023155	0.092052	-0.085365	0.782	0.45922	-0.085365	-0.125	-0.125	0.06208	0.81688	-0.12291	0.000	0.000	0.81688	0.23287	-0.12291	1.664	-0.077469	0.68124	-0.16128	0.264	-0.192	-0.057828	0.000	0.000	-0.123	-0.123	-0.023155	-0.22239	0.45649	0.33383	-0.12473	0	0.20183	-0.13614	-0.096836	0.514	0.21192	-0.105	-0.077469	0.24031	-0.096836	0.782	0.000	0.000	-0.166	0.233	0.233	1.3933	0.78176	-0.32426	0.49182	0.7862	0.000	0.000	0.18313	0.305	-0.187	0.51403	0.227	-0.235	-0.023155	0.000	-0.077469	-0.136	0.183	0.24498	0.000	0.126	0.49182	0.45649	-0.087915	-0.16128	-0.10736	1.2257	-0.12291	0.227	-0.001442	-0.46195	0.240	0.45649	-0.0019399	0.23287	-0.001442	-0.001442	0.49182	-0.105	0.21192	0.000	0.000	
